Rank,Stocks (5218),Sub-Sector,?Market Cap,Alpha,Beta,5Y CAGR,Debt to Equity,EPS (Q),PE Ratio,PB Ratio,,,,,,,,,
168,POWERINDIA,Heavy Electrical Equipments,"49,023.31",46.7,0.52,-,0.16,32.41,299.32,36.05,,,,,,,,,
169,UNOMINDA,Auto Parts,"48,981.92",15.7,1.24,34.8,0.32,4.05,55.64,9.3,,,,,,,,,
170,PAYTM,Online Services,"48,854.89",12.08,-,-,0.01,-3.27,-34.48,3.67,,,,,,,,,
171,MPHASIS,IT Services & Consulting,"48,705.48",-14.3,0.96,23.31,0.18,22.58,31.33,5.54,,,,,,,,,
172,PIIND,Diversified Chemicals,"47,716.73",-0.41,1.23,15.12,0.02,24.55,28.38,5.47,,,,,,,,,
173,IREDA,Specialized Finance,"47,664.82",-,-,-,5.8,1.58,38.06,5.57,,,,,,,,,
174,NYKAA,Wellness Services,"46,951.49",-11.06,-,-,0.76,0.09,"1,455.41",36.65,,,,,,,,,
175,FORTIS,Hospitals & Diagnostic Centres,"46,758.33",26.81,0.87,31.7,0.13,3.28,78.08,5.46,,,,,,,,,
176,VMM,FMCG - Foods,"46,721.80",-,-,-,0.26,0.58,101.14,8.31,,,,,,,,,
177,SUPREMEIND,Plastic Products,"46,619.50",17.03,1.18,21.41,0.01,14.72,43.58,9.13,,,,,,,,,
178,SAIL,Iron & Steel,"46,575.80",-1.84,1.89,21.75,0.64,0.34,15.19,0.82,,,,,,,,,
179,MRF,Tires & Rubber,"46,340.13",11.3,0.66,9.07,0.17,743.8,22.27,2.77,,,,,,,,,
180,BANKINDIA,Public Banks,"46,214.13",17.46,1.56,11.11,0,5.79,7.04,0.65,,,,,,,,,
181,UCOBANK,Public Banks,"46,126.09",40.37,1.16,22.83,0,0.54,27.59,1.69,,,,,,,,,
182,PAGEIND,Apparel & Accessories,"45,878.45",-3.96,0.76,12.26,0.12,183.48,80.6,28.73,,,,,,,,,
183,FACT,Fertilizers & Agro Chemicals,"45,709.16",69.29,0.62,80.76,1.32,0.12,312.69,33.23,,,,,,,,,
184,JUBLFOOD,Restaurants & Cafes,"45,528.76",0.5,0.79,12.95,1.88,0.65,114.01,20.3,,,,,,,,,
185,PETRONET,Oil & Gas - Storage & Transportation,"45,232.50",12.67,0.72,2.43,0.17,6.01,12.38,2.6,,,,,,,,,
186,PGHH,FMCG - Personal Products,"44,528.18",-7.74,0.4,4.23,0,82.74,65.97,57.47,,,,,,,,,
187,IDFCFIRSTB,Private Banks,"44,388.54",3.23,1.32,8.51,0,0.46,15.09,1.38,,,,,,,,,
188,FEDERALBNK,Private Banks,"44,161.24",12.18,1.45,15.5,0,3.85,11.38,1.43,,,,,,,,,
189,PREMIERENE,Renewable Energy,"43,382.88",-,-,-,2.12,5.66,187.52,65.74,,,,,,,,,
190,GLAXO,Pharmaceuticals,"42,498.89",19.23,0.33,13.28,0.01,13.57,72.04,23.91,,,,,,,,,
191,VOLTAS,Home Electronics & Appliances,"41,989.27",-7.53,0.89,11.85,0.13,3.99,166.62,7.17,,,,,,,,,
192,CONCOR,Logistics,"41,895.08",-0.84,1.24,4.57,0.08,6.03,33.23,3.51,,,,,,,,,
193,TATACOMM,Telecom Services,"41,329.28",-1.82,1.98,29.91,6.29,8.28,42.68,23.09,,,,,,,,,
194,APLAPOLLO,Building Products - Pipes,"41,328.96",14.23,0.97,47.76,0.32,7.82,56.43,11.47,,,,,,,,,
195,ABCAPITAL,Diversified Financials,"40,998.70",3.26,1.67,11.79,3.85,2.72,12.29,1.43,,,,,,,,,
196,FLUOROCHEM,Specialty Chemicals,"40,691.74",10.12,1.13,46.38,0.35,11.47,93.55,6.85,,,,,,,,,
197,CENTRALBK,Public Banks,"40,609.43",27.07,1.15,22.44,0,1.11,15.22,1.25,,,,,,,,,
198,AUBANK,Consumer Finance,"40,018.41",-9.12,1.66,-1.75,0,7.1,26.08,3.19,,,,,,,,,
199,BLUESTARCO,Home Electronics & Appliances,"39,349.53",38.57,1.13,35.26,0.09,6.44,94.83,15.06,,,,,,,,,
200,BIOCON,Biotechnology,"38,633.03",-12.64,0.75,0.47,0.64,0.21,37.78,1.53,,,,,,,,,
201,360ONE,Investment Banking & Brokerage,"38,528.56",25.81,1.09,19.82,2.75,7.26,47.91,11.17,,,,,,,,,
202,MAHABANK,Public Banks,"38,234.72",27.84,0.89,34.01,0,1.84,9.39,1.92,,,,,,,,,
203,GODREJIND,Diversified Chemicals,"38,103.50",22.43,0.7,21.92,1.92,5.59,635.38,2.52,,,,,,,,,
204,HUDCO,Specialized Finance,"37,968.04",58.2,1.64,41.4,4.45,3.67,17.94,2.29,,,,,,,,,
205,THERMAX,Industrial Machinery,"37,413.64",22.19,0.57,27.64,0.29,10.29,57.98,8.43,,,,,,,,,
206,ASTRAL,Building Products - Pipes,"37,265.01",-7.93,0.98,15.54,0.04,4.25,68.24,11.4,,,,,,,,,
207,TATAELXSI,Software Services,"37,123.83",-8.9,0.98,43.01,0.09,31.95,46.86,14.82,,,,,,,,,
208,BDL,Aerospace & Defense Equipments,"37,008.15",50.89,1.24,47,0,4.01,60.4,10.18,,,,,,,,,
209,NATIONALUM,Metals - Aluminium,"36,918.14",11.37,1.01,38.96,0.01,8.53,18.57,2.57,,,,,,,,,
210,MOTILALOFS,Diversified Financials,"36,764.91",34.68,0.6,24.28,1.57,9.43,15.06,4.19,,,,,,,,,
211,KEI,Cables,"36,734.72",37.79,1.49,49.08,0.05,17.87,63.26,11.67,,,,,,,,,
212,GLENMARK,Pharmaceuticals,"36,707.04",29.81,1.12,32.25,0.16,12.33,-24.44,4.68,,,,,,,,,
213,IPCALAB,Pharmaceuticals,"36,658.99",13.89,0.43,14.72,0.19,9.78,66.98,4.74,,,,,,,,,
214,SJVN,Renewable Energy,"36,543.17",36.57,0.63,29.38,1.44,0.38,40.09,2.6,,,,,,,,,
215,MFSL,Insurance,"36,312.98",6.52,0.93,13.24,0.12,1.62,106.77,8.31,,,,,,,,,
216,GVT&D,Heavy Electrical Equipments,"36,261.31",97.13,1.64,59.14,0.03,5.57,200.28,29.17,,,,,,,,,
217,KPITTECH,IT Services & Consulting,"35,582.83",21.03,1.71,71.95,0.15,6.89,59.85,16.45,,,,,,,,,
218,JKCEMENT,Cement,"35,390.02",6.79,1.15,25.48,1.04,24.54,44.75,6.65,,,,,,,,,
